,ascii_name,latitude,longitude
0,abkhaz,43.0833333333,41
1,acoma,34.9166666667,-107.583333333
2,alamblak,-4.66666666667,143.333333333
3,amele,-5.25,145.583333333
4,apurina,-9,-67
5,arabic egyptian,30,31
6,arapesh mountain,-3.46666666667,143.166666667
7,asmat,-5.5,138.5
8,bagirmi,11.6666666667,16
9,barasano,-0.166666666667,-70.6666666667
10,basque,43,-3
11,berber middle atlas,33,-5
12,burmese,21,96
13,burushaski,36.5,74.5
14,chamorro,13.45,144.75
15,chukchi,67,-173
16,cree plains,54,-110
17,daga,-10,149.333333333
18,dani lower grand valley,-4.33333333333,138.833333333
19,english,52,0
20,fijian,-17.8333333333,178
21,finnish,62,25
22,french,48,2
23,georgian,42,44
24,german,52,10
25,gooniyandi,-18.3333333333,126.333333333
26,grebo,5,-8
27,greek modern,39,22
28,greenlandic west,64,-51
29,guarani,-26,-56
30,hausa,12,7
31,hebrew modern,31.5,34.8333333333
32,hindi,25,77
33,hixkaryana,-1,-59
34,hmong njua,28,105
35,imonda,-3.33333333333,141.166666667
36,indonesian,0,106
37,jakaltek,15.6666666667,-91.6666666667
38,japanese,37,140
39,kannada,14,76
40,karok,41.6666666667,-123
41,kayardild,-17.05,139.5
42,kewa,-6.5,143.833333333
43,khalkha,47,105
44,kiowa,37,-99
45,koasati,34.8333333333,-85.1666666667
46,korean,37.5,128
47,koyraboro senni,16,0
48,krongo,10.5,30
49,kutenai,49.5,-116
50,lakhota,43.8333333333,-101.833333333
51,lango,2.16666666667,33
52,lavukaleve,-9.08333333333,159.2
53,lezgian,41.6666666667,47.8333333333
54,luvale,-12,22
55,makah,48.3333333333,-124.666666667
56,malagasy,-20,47
57,mandarin,34,110
58,mangarrayi,-14.6666666667,133.5
59,mapudungun,-38,-72
60,maricopa,33.1666666667,-113.166666667
61,martuthunira,-20.8333333333,116.5
62,maung,-11.9166666667,133.5
63,maybrat,-1.33333333333,132.5
64,meithei,24.75,94
65,mixtec chalcatongo,17.05,-97.5833333333
66,nama,-25.5,18
67,ngiyambaa,-31.75,145.5
68,oneida,43,-75.6666666667
69,oromo harar,9,42
70,otomi mezquital,20.1666666667,-99.1666666667
71,paiwan,22.5,120.833333333
72,persian,32,54
73,piraha,-7,-62
74,quechua imbabura,0.333333333333,-78
75,rama,11.75,-83.75
76,rapanui,-27.1166666667,-109.366666667
77,russian,56,38
78,sango,5,18
79,sanuma,4.5,-64.6666666667
80,slave,67,-125
81,spanish,40,-4
82,supyire,11.5,-5.58333333333
83,swahili,-6.5,39
84,tagalog,15,121
85,thai,16,101
86,tiwi,-11.5,131
87,tukang besi,-5.5,123.5
88,turkish,39,35
89,vietnamese,10.5,106.5
90,warao,9.33333333333,-61.6666666667
91,wari,-11.3333333333,-65
92,wichi,-22.5,-62.5833333333
93,wichita,33.3333333333,-97.3333333333
94,yagua,-3.5,-72
95,yaqui,27.5,-110.25
96,yoruba,8,4.33333333333
97,zoque copainala,17,-93.25
98,zulu,-30,30
99,italian,43,12
